Date,Upstream Depth (ft),Downstream Depth (ft)
2018-10-22,0.81,3.54
2018-10-23,0.81,3.54
2018-10-24,0.8,3.53
2018-10-25,0.8,3.51
2018-10-26,0.8,3.52
2018-10-27,0.8,3.52
2018-10-28,0.81,3.54
2018-10-29,0.81,3.55
2018-10-30,0.8,3.54
2018-10-31,0.8,3.51
2018-11-01,0.79,3.49
2018-11-02,0.79,3.51
2018-11-03,0.79,3.52
2018-11-04,0.8,3.53
2018-11-05,0.8,3.53
2018-11-06,0.8,3.51
2018-11-07,0.79,3.52
2018-11-08,0.8,3.51
2018-11-09,0.8,3.51
2018-11-10,0.81,3.52
2018-11-11,0.81,3.48
2018-11-12,0.82,3.48
2018-11-13,0.8,3.48
2018-11-14,0.8,3.48
2018-11-15,0.8,3.48
2018-11-16,0.8,3.5
2018-11-17,0.8,3.5
2018-11-18,0.8,3.5
2018-11-19,0.8,3.5
2018-11-20,0.8,3.5
2018-11-21,0.81,3.51
2018-11-22,0.81,3.51
2018-11-23,0.81,3.56
2018-11-24,0.81,3.54
2018-11-25,0.82,3.63
2018-11-26,0.82,3.56
2018-11-27,0.82,3.55
2018-11-28,0.81,3.53
2018-11-29,0.81,3.53
2018-11-30,0.82,3.59
2018-12-01,0.81,3.62
2018-12-02,0.81,3.57
2018-12-03,0.82,3.54
2018-12-04,0.82,3.53
2018-12-05,0.82,3.53
2018-12-06,0.82,3.53
2018-12-07,0.81,3.52
2018-12-08,0.81,3.51
2018-12-09,0.82,3.52
2018-12-10,0.81,3.5
2018-12-11,0.81,3.51
2018-12-12,0.81,3.5
2018-12-13,0.81,3.5
2018-12-14,0.81,3.52
2018-12-15,0.81,3.52
2018-12-16,0.81,3.5
2018-12-17,0.81,3.5
2018-12-18,0.8,3.5
2018-12-19,0.81,3.47
2018-12-20,0.81,3.49
2018-12-21,0.8,3.48
2018-12-22,0.81,3.48
2018-12-23,0.8,3.52
2018-12-24,0.82,3.51
2018-12-25,0.8,3.44
2018-12-26,0.79,3.47
2018-12-27,0.8,3.46
2018-12-28,0.82,3.49
2018-12-29,0.8,3.47
2018-12-30,0.79,3.46
2018-12-31,0.79,3.44
2019-01-01,0.79,3.43
2019-01-02,0.79,3.5
2019-01-03,0.79,3.48
2019-01-04,0.81,3.45
2019-01-05,0.81,3.47
2019-01-06,0.81,3.46
2019-01-07,0.8,3.46
2019-01-08,0.81,3.45
2019-01-09,0.81,3.45
2019-01-10,0.86,3.54
2019-01-11,0.81,3.47
2019-01-12,0.81,3.46
2019-01-13,0.81,3.46
2019-01-14,0.81,3.45
2019-01-15,0.81,3.48
2019-01-16,0.81,3.46
2019-01-17,0.81,3.47
2019-01-18,0.83,3.58
2019-01-19,0.82,3.52
2019-01-20,0.82,3.49
2019-01-21,0.82,3.47
2019-01-22,0.82,3.5
2019-01-23,0.81,3.51
2019-01-24,0.81,3.5
2019-01-25,0.81,3.45
2019-01-26,0.82,3.45
2019-01-27,0.81,3.45
2019-01-28,0.81,3.45
2019-01-29,0.8,3.44
2019-01-30,0.79,3.45
2019-01-31,0.79,3.45
2019-02-01,0.79,3.47
2019-02-02,0.79,3.46
2019-02-03,0.8,3.48
2019-02-04,0.8,3.58
2019-02-05,0.8,3.52
2019-02-06,0.8,3.5
2019-02-07,0.8,3.51
2019-02-08,0.79,3.51
2019-02-09,0.79,3.51
2019-02-10,0.8,3.5
2019-02-11,0.79,3.5
2019-02-12,0.79,3.5
2019-02-13,0.79,3.5
2019-02-14,0.8,3.51
2019-02-15,0.81,3.54
2019-02-16,0.8,3.66
2019-02-17,0.8,3.61
2019-02-18,0.8,3.61
2019-02-19,0.8,3.57
2019-02-20,0.8,3.56
2019-02-21,0.8,3.54
2019-02-22,0.8,3.53
2019-02-23,0.8,3.52
2019-02-24,0.79,3.5
2019-02-25,0.79,3.51
2019-02-26,0.8,3.51
2019-02-27,0.8,3.51
2019-02-28,0.8,3.52
2019-03-01,0.8,3.52
2019-03-02,0.8,3.57
2019-03-03,0.8,3.58
2019-03-04,0.8,3.55
2019-03-05,0.8,3.55
2019-03-06,0.8,3.54
2019-03-07,0.81,3.77
2019-03-08,0.82,3.93
2019-03-09,0.81,3.8
2019-03-10,0.81,3.7
2019-03-11,0.81,3.65
2019-03-12,0.8,3.67
2019-03-13,0.8,3.63
2019-03-14,0.8,3.66
2019-03-15,0.8,3.65
2019-03-16,0.8,3.64
2019-03-17,0.8,3.65
2019-03-18,0.8,3.7
2019-03-19,0.81,3.75
2019-03-20,0.83,3.8
2019-03-21,0.81,3.83
2019-03-22,0.8,3.66
2019-03-23,0.81,3.86
2019-03-24,0.81,3.78
2019-03-25,0.82,3.83
2019-03-26,0.81,3.66
2019-03-27,0.81,3.64
2019-03-28,0.81,3.65
2019-03-29,0.81,3.65
2019-03-30,0.81,3.68
2019-03-31,0.8,3.63
2019-04-01,0.8,3.63
2019-04-02,0.8,3.62
2019-04-03,0.8,3.63
2019-04-04,0.8,3.66
2019-04-05,0.8,3.63
2019-04-06,0.8,3.66
2019-04-07,0.8,3.67
2019-04-08,0.8,3.65
2019-04-09,0.8,3.65
2019-04-10,0.81,3.68
2019-04-11,0.8,3.68
2019-04-12,0.8,3.64
2019-04-13,0.8,3.63
2019-04-14,0.8,3.62
2019-04-15,0.8,3.63
2019-04-16,0.79,3.66
2019-04-17,0.79,3.68
2019-04-18,0.79,3.64
2019-04-19,0.79,3.59
2019-04-20,0.79,3.6
2019-04-21,0.79,3.61
2019-04-22,0.8,3.61
2019-04-23,0.8,3.58
2019-04-24,0.98,3.95
2019-04-25,0.97,3.97
2019-04-26,0.98,3.94
2019-04-27,0.98,3.94
2019-04-28,0.98,3.94
2019-04-29,0.98,3.93
2019-04-30,0.98,3.85
2019-05-01,0.93,3.87
2019-05-02,1.03,4.08
2019-05-03,1.04,4.1
2019-05-04,1.04,4.08
2019-05-05,1.04,4.11
2019-05-06,1.05,4.07
2019-05-07,1.07,4.12
2019-05-08,1.08,4.12
2019-05-09,1.08,4.12
2019-05-10,1.07,4.09
2019-05-11,1.04,4.02
2019-05-12,1.04,4.03
2019-05-13,1.04,4.0
2019-05-14,1.01,3.99
2019-05-15,0.99,4.0
2019-05-16,1.02,4.0
2019-05-17,1.01,4.12
2019-05-18,1.06,4.25
2019-05-19,1.06,4.19
2019-05-20,1.07,4.16
2019-05-21,1.05,4.17
2019-05-22,1.05,4.19
2019-05-23,1.22,4.43
2019-05-24,1.21,4.44
2019-05-25,1.43,4.87
2019-05-26,1.43,4.86
2019-05-27,1.44,4.85
2019-05-28,1.44,4.87
2019-05-29,1.43,4.86
2019-05-30,1.86,5.51
2019-05-31,1.85,5.58
2019-06-01,1.98,5.8
2019-06-02,1.99,5.76
2019-06-03,1.98,5.82
2019-06-04,1.96,5.87
2019-06-05,1.98,5.87
2019-06-06,1.97,5.91
2019-06-07,1.97,5.92
2019-06-08,2.0,6.02
2019-06-09,2.0,5.95
2019-06-10,2.0,
2019-06-11,1.99,
2019-06-12,1.98,
2019-06-13,1.97,
2019-06-14,1.97,
2019-06-15,1.98,
2019-06-16,1.98,
2019-06-17,1.97,
2019-06-18,2.1,
2019-06-19,2.1,
2019-06-20,2.36,
2019-06-21,2.64,
2019-06-22,3.01,
2019-06-23,3.03,
2019-06-24,3.02,7.23
2019-06-25,2.67,6.76
2019-06-26,2.66,6.73
2019-06-27,2.85,6.98
2019-06-28,2.85,7.03
2019-06-29,2.78,6.87
2019-06-30,2.65,6.7
2019-07-01,2.6,6.52
2019-07-02,2.31,6.15
2019-07-03,2.19,5.92
2019-07-04,2.04,5.68
2019-07-05,1.84,5.4
2019-07-06,1.84,5.39
2019-07-07,1.7,5.19
2019-07-08,1.47,4.78
2019-07-09,1.49,4.79
2019-07-10,1.48,4.8
2019-07-11,1.47,4.73
2019-07-12,1.42,4.63
2019-07-13,1.4,4.63
2019-07-14,1.39,4.67
2019-07-15,1.42,4.68
2019-07-16,1.4,4.69
2019-07-17,1.4,4.68
2019-07-18,1.4,4.66
2019-07-19,1.39,4.64
2019-07-20,1.21,4.35
2019-07-21,1.21,4.3
2019-07-22,1.22,4.31
2019-07-23,1.19,4.25
2019-07-24,1.23,4.31
2019-07-25,1.21,4.32
2019-07-26,1.23,4.31
2019-07-27,1.23,4.31
2019-07-28,1.26,4.41
2019-07-29,1.26,4.38
2019-07-30,1.24,4.36
2019-07-31,1.25,4.36
2019-08-01,1.24,4.39
2019-08-02,1.28,4.44
2019-08-03,1.29,4.45
2019-08-04,1.29,4.45
2019-08-05,1.29,4.49
2019-08-06,1.01,4.06
2019-08-07,0.99,3.94
2019-08-08,0.98,3.94
2019-08-09,1.0,3.94
2019-08-10,0.96,3.89
2019-08-11,0.99,3.89
2019-08-12,0.99,3.89
2019-08-13,0.96,3.88
2019-08-14,0.9,3.89
2019-08-15,0.96,
2019-08-16,0.97,
2019-08-17,0.94,
2019-08-18,0.96,
2019-08-19,0.97,
2019-08-20,0.95,
2019-08-21,0.94,
2019-08-22,0.95,3.82
2019-08-23,0.93,3.83
2019-08-24,0.97,3.85
2019-08-25,0.95,3.86
2019-08-26,0.96,3.86
2019-08-27,0.9,3.85
2019-08-28,0.94,3.84
2019-08-29,0.97,3.87
2019-08-30,0.96,3.88
2019-08-31,0.94,3.88
2019-09-01,0.92,3.9
2019-09-02,0.98,3.91
2019-09-03,0.94,3.85
2019-09-04,0.84,3.64
2019-09-05,0.81,3.62
2019-09-06,0.8,3.53
2019-09-07,0.85,3.67
2019-09-08,0.87,3.68
2019-09-09,0.88,3.75
2019-09-10,0.92,3.76
2019-09-11,0.94,3.93
2019-09-12,0.95,4.21
2019-09-13,0.95,3.94
2019-09-14,0.94,3.9
2019-09-15,0.95,3.89
2019-09-16,0.95,3.91
2019-09-17,0.94,3.87
2019-09-18,0.94,3.86
2019-09-19,0.95,3.85
2019-09-20,0.95,3.86
2019-09-21,0.98,3.92
2019-09-22,0.98,3.95
2019-09-23,0.99,3.96
2019-09-24,0.83,3.67
2019-09-25,0.83,3.64
2019-09-26,0.83,3.66
2019-09-27,0.84,3.68
2019-09-28,0.83,3.65
2019-09-29,0.86,3.76
2019-09-30,0.86,3.74
2019-10-01,0.88,3.72
2019-10-02,0.84,3.68
2019-10-03,0.82,3.64
2019-10-04,0.83,3.66
2019-10-05,0.94,3.74
2019-10-06,0.94,3.77
2019-10-07,0.94,3.78
2019-10-08,0.82,3.76
2019-10-09,0.83,3.55
2019-10-10,0.83,3.55
2019-10-11,0.82,3.54
2019-10-12,0.82,3.54
2019-10-13,0.82,3.53
2019-10-14,0.82,3.54
2019-10-15,0.82,3.53
2019-10-16,0.82,3.5
2019-10-17,0.82,3.52
2019-10-18,0.83,3.53
2019-10-19,0.83,3.53
2019-10-20,0.84,3.51
2019-10-21,0.83,3.55
2019-10-22,0.82,3.5
2019-10-23,0.82,3.49
2019-10-24,0.82,3.48
2019-10-25,0.79,3.49
2019-10-26,0.79,3.47
2019-10-27,0.79,3.48
2019-10-28,0.79,3.47
2019-10-29,0.79,3.49
2019-10-30,0.79,3.45
2019-10-31,0.79,3.47
2019-11-01,0.79,3.46
2019-11-02,0.79,3.46
2019-11-03,0.79,3.49
2019-11-04,0.79,3.49
2019-11-05,0.8,3.47
2019-11-06,0.8,3.46
2019-11-07,0.8,3.46
2019-11-08,0.8,3.46
2019-11-09,0.8,3.47
2019-11-10,0.8,3.48
2019-11-11,0.8,3.48
2019-11-12,0.8,3.47
2019-11-13,0.8,3.47
2019-11-14,0.8,3.47
2019-11-15,0.8,3.47
2019-11-16,0.8,3.47
2019-11-17,0.8,3.46
2019-11-18,0.8,3.46
2019-11-19,0.8,3.45
2019-11-20,0.8,3.45
2019-11-21,0.81,3.48
2019-11-22,0.81,3.46
2019-11-23,0.81,3.46
2019-11-24,0.81,3.45
2019-11-25,0.81,3.45
2019-11-26,0.81,3.45
2019-11-27,0.81,3.46
2019-11-28,0.81,3.46
2019-11-29,0.81,3.46
2019-11-30,0.81,3.48
2019-12-01,0.81,3.45
2019-12-02,0.81,3.46
2019-12-03,0.81,3.5
2019-12-04,0.82,3.5
2019-12-05,0.8,3.45
2019-12-06,0.8,3.54
2019-12-07,0.8,3.56
2019-12-08,0.8,3.5
2019-12-09,0.81,3.55
2019-12-10,0.81,3.5
2019-12-11,0.81,3.48
2019-12-12,0.8,3.47
2019-12-13,0.81,3.5
2019-12-14,0.81,3.6
2019-12-15,0.81,3.59
2019-12-16,0.81,3.5
2019-12-17,0.81,3.47
2019-12-18,0.81,3.47
2019-12-19,0.81,3.48
2019-12-20,0.81,3.47
2019-12-21,0.81,3.46
2019-12-22,0.81,3.46
2019-12-23,0.81,3.45
2019-12-24,0.81,3.45
2019-12-25,0.81,3.47
2019-12-26,0.81,3.48
2019-12-27,0.81,3.47
2019-12-28,0.81,3.47
2019-12-29,0.81,3.48
2019-12-30,0.81,3.5
2019-12-31,0.81,3.5
2020-01-01,0.81,3.5
2020-01-02,0.82,3.51
2020-01-03,0.81,3.5
2020-01-04,0.81,3.5
2020-01-05,0.81,3.52
2020-01-06,0.81,3.51
2020-01-07,0.81,3.5
2020-01-08,0.81,3.51
2020-01-09,0.82,3.5
2020-01-10,0.82,3.49
2020-01-11,0.82,3.5
2020-01-12,0.82,3.53
2020-01-13,0.82,3.5
2020-01-14,0.82,3.5
2020-01-15,0.81,3.48
2020-01-16,0.81,3.48
2020-01-17,0.81,3.47
2020-01-18,0.81,3.47
2020-01-19,0.81,3.47
2020-01-20,0.81,3.47
2020-01-21,0.81,3.47
2020-01-22,0.81,3.48
2020-01-23,0.81,3.5
2020-01-24,0.81,3.49
2020-01-25,0.81,3.49
2020-01-26,0.81,3.48
2020-01-27,0.81,3.49
2020-01-28,0.81,3.51
2020-01-29,0.81,3.51
2020-01-30,0.81,3.5
2020-01-31,0.81,3.48
2020-02-01,0.81,3.51
2020-02-02,0.81,3.5
2020-02-03,0.82,3.5
2020-02-04,0.82,3.48
2020-02-05,0.82,3.49
2020-02-06,0.82,3.48
2020-02-07,0.82,3.5
2020-02-08,0.82,3.53
2020-02-09,0.83,3.53
2020-02-10,0.82,3.51
2020-02-11,0.8,3.47
2020-02-12,0.81,3.52
2020-02-13,0.81,3.49
2020-02-14,0.81,3.51
2020-02-15,0.81,3.51
2020-02-16,0.81,3.49
2020-02-17,0.81,3.49
2020-02-18,0.81,3.48
2020-02-19,0.81,3.48
2020-02-20,0.81,3.47
2020-02-21,0.8,3.47
2020-02-22,0.8,3.47
2020-02-23,0.81,3.46
2020-02-24,0.81,3.46
2020-02-25,0.81,3.47
2020-02-26,0.81,3.49
2020-02-27,0.81,3.5
2020-02-28,0.81,3.5
2020-02-29,0.81,3.5
2020-03-01,0.81,3.55
2020-03-02,0.81,3.56
2020-03-03,0.81,3.51
2020-03-04,0.81,3.49
2020-03-05,0.81,3.53
2020-03-06,0.82,3.57
2020-03-07,0.82,3.58
2020-03-08,0.82,3.55
2020-03-09,0.83,3.65
2020-03-10,0.82,3.55
2020-03-11,0.82,3.51
2020-03-12,0.82,3.51
2020-03-13,0.82,3.5
2020-03-14,0.82,3.51
2020-03-15,0.82,3.52
2020-03-16,0.82,3.5
2020-03-17,0.82,3.49
2020-03-18,0.82,3.5
2020-03-19,0.82,3.52
2020-03-20,0.82,3.53
2020-03-21,0.81,3.53
2020-03-22,0.81,3.5
2020-03-23,0.81,3.49
2020-03-24,0.81,3.49
2020-03-25,0.81,3.49
2020-03-26,0.81,3.55
2020-03-27,0.82,3.55
2020-03-28,0.81,3.5
2020-03-29,0.81,3.49
2020-03-30,0.81,3.48
2020-03-31,0.81,3.48
2020-04-01,0.81,3.46
2020-04-02,0.81,3.46
2020-04-03,0.81,3.47
2020-04-04,0.81,3.47
2020-04-05,0.81,3.46
2020-04-06,0.81,3.47
2020-04-07,0.81,3.47
2020-04-08,0.8,3.45
2020-04-09,0.78,3.43
2020-04-10,0.8,3.44
2020-04-11,0.8,3.44
2020-04-12,0.81,3.43
2020-04-13,0.81,3.44
2020-04-14,0.8,3.43
2020-04-15,0.79,3.42
2020-04-16,0.79,3.42
2020-04-17,0.79,3.42
2020-04-18,0.8,3.44
2020-04-19,0.81,3.47
2020-04-20,0.81,3.46
2020-04-21,0.81,3.44
2020-04-22,0.8,3.41
2020-04-23,0.8,3.42
2020-04-24,1.08,3.95
2020-04-25,1.15,4.14
2020-04-26,1.12,4.1
2020-04-27,1.09,4.04
2020-04-28,1.0,3.86
2020-04-29,1.04,3.95
2020-04-30,1.04,3.9
2020-05-01,1.04,3.86
2020-05-02,1.03,3.88
2020-05-03,1.03,3.91
2020-05-04,1.02,3.92
2020-05-05,1.03,3.95
2020-05-06,1.58,4.93
2020-05-07,1.57,4.93
2020-05-08,1.54,4.93
2020-05-09,1.56,4.89
2020-05-10,1.56,4.89
2020-05-11,1.57,4.93
2020-05-12,1.55,4.89
2020-05-13,1.52,4.85
2020-05-14,1.5,4.89
2020-05-15,1.52,4.88
2020-05-16,1.53,4.92
2020-05-17,1.53,4.92
2020-05-18,1.52,4.91
2020-05-19,1.91,5.52
2020-05-20,2.96,7.03
2020-05-21,2.95,7.28
2020-05-22,2.92,7.22
2020-05-23,2.7,6.89
2020-05-24,2.46,6.35
2020-05-25,2.44,6.35
2020-05-26,2.41,6.29
2020-05-27,2.05,5.7
2020-05-28,2.03,5.66
2020-05-29,2.53,6.4
2020-05-30,2.7,6.64
2020-05-31,2.85,7.0
2020-06-01,2.87,7.03
2020-06-02,2.69,6.83
2020-06-03,2.61,6.69
2020-06-04,1.75,5.23
2020-06-05,1.49,4.8
2020-06-06,1.73,5.12
2020-06-07,1.76,5.22
2020-06-08,2.4,6.17
2020-06-09,2.5,6.43
2020-06-10,1.81,5.38
2020-06-11,1.79,5.3
2020-06-12,1.63,5.06
2020-06-13,1.54,4.88
2020-06-14,1.51,4.81
2020-06-15,1.51,4.82
2020-06-16,1.53,4.86
2020-06-17,1.53,4.86
2020-06-18,1.54,4.9
2020-06-19,1.54,4.9
2020-06-20,1.52,4.88
2020-06-21,1.51,4.85
2020-06-22,1.5,4.84
2020-06-23,1.49,4.82
2020-06-24,1.49,4.82
2020-06-25,1.47,4.78
2020-06-26,1.48,4.78
2020-06-27,1.25,4.44
2020-06-28,1.22,4.36
2020-06-29,1.24,4.39
2020-06-30,1.24,4.45
2020-07-01,1.27,4.48
2020-07-02,1.25,4.44
2020-07-03,1.23,4.4
2020-07-04,1.22,4.39
2020-07-05,1.23,4.39
2020-07-06,1.23,4.39
2020-07-07,1.24,4.39
2020-07-08,1.21,3.84
2020-07-09,1.23,4.36
2020-07-10,1.2,4.3
2020-07-11,1.23,4.32
2020-07-12,1.24,4.36
2020-07-13,1.25,4.33
2020-07-14,1.22,4.3
2020-07-15,1.21,4.28
2020-07-16,1.21,4.28
2020-07-17,1.23,4.27
2020-07-18,1.04,3.98
2020-07-19,1.02,3.97
2020-07-20,1.05,3.99
2020-07-21,1.04,3.95
2020-07-22,1.02,3.94
2020-07-23,1.06,4.0
2020-07-24,1.09,4.04
2020-07-25,1.08,4.0
2020-07-26,1.04,3.93
2020-07-27,1.08,3.98
2020-07-28,1.05,3.94
2020-07-29,1.06,3.97
2020-07-30,1.06,3.94
2020-07-31,1.05,3.94
2020-08-01,1.07,3.98
2020-08-02,1.05,3.96
2020-08-03,1.05,3.96
2020-08-04,1.03,3.94
2020-08-05,1.04,3.95
2020-08-06,1.03,3.92
2020-08-07,1.04,3.92
2020-08-08,1.04,3.95
2020-08-09,1.04,3.96
2020-08-10,1.04,3.92
2020-08-11,1.02,3.9
2020-08-12,1.03,3.93
2020-08-13,1.03,3.93
2020-08-14,1.02,3.91
2020-08-15,1.04,3.96
2020-08-16,1.03,3.9
2020-08-17,1.05,3.99
2020-08-18,1.04,3.94
2020-08-19,1.03,3.97
2020-08-20,0.92,3.77
2020-08-21,0.93,3.77
2020-08-22,0.94,3.8
2020-08-23,0.94,3.8
2020-08-24,0.94,3.81
2020-08-25,0.93,3.76
2020-08-26,0.92,3.77
2020-08-27,0.94,3.77
2020-08-28,0.95,3.74
2020-08-29,0.94,3.79
2020-08-30,0.96,3.85
2020-08-31,0.96,3.84
2020-09-01,0.96,3.86
2020-09-02,1.01,3.93
2020-09-03,1.01,3.9
2020-09-04,1.0,3.9
2020-09-05,1.0,3.87
2020-09-06,1.01,3.88
2020-09-07,1.01,3.89
2020-09-08,1.02,3.9
2020-09-09,1.07,3.91
2020-09-10,1.07,4.01
2020-09-11,1.06,3.97
2020-09-12,1.05,3.98
2020-09-13,1.05,3.98
2020-09-14,1.07,4.0
2020-09-15,1.03,3.94
2020-09-16,1.08,3.98
2020-09-17,1.07,4.0
2020-09-18,1.08,4.01
2020-09-19,1.08,4.03
2020-09-20,1.09,4.05
2020-09-21,1.1,4.07
2020-09-22,1.06,3.99
2020-09-23,1.09,4.03
2020-09-24,1.07,4.0
2020-09-25,1.07,3.99
2020-09-26,1.08,4.0
2020-09-27,1.08,4.0
2020-09-28,1.08,4.02
2020-09-29,1.1,4.06
2020-09-30,1.1,4.06
2020-10-01,1.1,4.08
2020-10-02,1.1,4.06
2020-10-03,1.1,4.06
2020-10-04,1.11,4.06
2020-10-05,1.09,4.02
2020-10-06,1.16,4.13
2020-10-07,1.18,4.16
2020-10-08,1.18,4.16
2020-10-09,1.19,4.19
2020-10-10,1.19,4.18
2020-10-11,1.19,4.16
2020-10-12,1.19,4.18
2020-10-13,1.19,4.18
2020-10-14,1.19,4.18
2020-10-15,1.2,4.19
2020-10-16,1.2,4.19
2020-10-17,1.19,4.19
2020-10-18,1.18,4.2
2020-10-19,1.19,4.19
2020-10-20,0.8,3.52
2020-10-21,0.8,3.56
2020-10-22,0.8,3.48
2020-10-23,0.81,3.47
2020-10-24,0.82,3.5
2020-10-25,0.82,3.48
2020-10-26,0.82,3.48
2020-10-27,0.83,3.47
2020-10-28,0.83,3.5
2020-10-29,0.83,3.47
2020-10-30,0.83,3.47
2020-10-31,0.83,3.46
2020-11-01,0.84,3.45
2020-11-02,0.84,3.45
2020-11-03,0.81,3.46
2020-11-04,0.81,3.45
2020-11-05,0.81,3.45
2020-11-06,0.81,3.45
2020-11-07,0.82,3.46
2020-11-08,0.82,3.49
2020-11-09,0.83,3.52
2020-11-10,0.82,3.49
2020-11-11,0.82,3.49
2020-11-12,0.82,3.5
2020-11-13,0.82,3.5
2020-11-14,0.82,3.47
2020-11-15,0.83,3.5
2020-11-16,0.83,3.5
2020-11-17,0.83,3.49
2020-11-18,0.83,3.49
2020-11-19,0.82,3.45
2020-11-20,0.8,3.42
2020-11-21,0.8,3.43
2020-11-22,0.8,3.43
2020-11-23,0.8,3.42
2020-11-24,0.8,3.41
2020-11-25,0.8,3.41
2020-11-26,0.8,3.42
2020-11-27,0.8,3.41
2020-11-28,0.8,3.42
2020-11-29,0.8,3.42
2020-11-30,0.8,3.42
2020-12-01,0.8,3.43
2020-12-02,0.8,3.42
2020-12-03,0.8,3.43
2020-12-04,0.8,3.43
2020-12-05,0.8,3.43
2020-12-06,0.8,3.44
2020-12-07,0.81,3.45
2020-12-08,0.8,3.45
2020-12-09,0.81,3.46
2020-12-10,0.81,3.47
2020-12-11,0.8,3.44
2020-12-12,0.8,3.44
2020-12-13,0.8,3.42
2020-12-14,0.8,3.43
2020-12-15,0.81,3.43
2020-12-16,0.81,3.43
2020-12-17,0.81,3.43
2020-12-18,0.81,3.45
2020-12-19,0.81,3.43
2020-12-20,0.81,3.44
2020-12-21,0.81,3.45
2020-12-22,0.81,3.43
2020-12-23,0.81,3.43
2020-12-24,0.81,3.44
2020-12-25,0.81,3.44
2020-12-26,0.81,3.43
2020-12-27,0.81,3.43
2020-12-28,0.81,3.43
2020-12-29,0.81,3.43
2020-12-30,0.81,3.44
2020-12-31,0.81,3.43
2021-01-01,0.81,3.43
2021-01-02,0.81,3.42
2021-01-03,0.81,3.45
2021-01-04,0.81,3.45
2021-01-05,0.81,3.42
2021-01-06,0.81,3.43
2021-01-07,0.81,3.45
2021-01-08,0.81,3.45
2021-01-09,0.81,3.45
2021-01-10,0.81,3.45
2021-01-11,0.81,3.46
2021-01-12,0.81,3.44
2021-01-13,0.84,3.42
2021-01-14,0.82,3.43
2021-01-15,0.81,3.44
2021-01-16,0.81,3.45
2021-01-17,0.82,3.43
2021-01-18,0.82,3.44
2021-01-19,0.82,3.44
2021-01-20,0.82,3.44
2021-01-21,0.81,3.42
2021-01-22,0.81,3.46
2021-01-23,0.81,3.43
2021-01-24,0.81,3.43
2021-01-25,0.81,3.43
2021-01-26,0.81,3.42
2021-01-27,0.81,3.44
2021-01-28,0.81,3.45
2021-01-29,0.8,3.42
2021-01-30,0.81,3.44
2021-01-31,0.82,3.43
2021-02-01,0.81,3.46
2021-02-02,0.81,3.46
2021-02-03,0.81,3.43
2021-02-04,0.8,3.67
2021-02-05,0.81,3.48
2021-02-06,0.81,3.49
2021-02-07,0.81,3.45
2021-02-08,0.81,3.45
2021-02-09,0.8,3.43
2021-02-10,0.8,3.43
2021-02-11,0.8,3.45
2021-02-12,0.81,3.45
2021-02-13,0.81,3.63
2021-02-14,0.81,3.53
2021-02-15,0.8,3.49
2021-02-16,0.81,3.47
2021-02-17,0.8,3.45
2021-02-18,0.8,3.44
2021-02-19,0.8,3.47
2021-02-20,0.8,3.44
2021-02-21,0.81,3.41
2021-02-22,0.8,3.4
2021-02-23,0.8,3.41
2021-02-24,0.8,3.44
2021-02-25,0.8,3.43
2021-02-26,0.8,3.44
2021-02-27,0.8,3.41
2021-02-28,0.8,3.4
2021-03-01,0.8,3.43
2021-03-02,0.8,3.42
2021-03-03,0.8,3.42
2021-03-04,0.8,3.42
2021-03-05,0.81,3.47
2021-03-06,0.81,3.47
2021-03-07,0.81,3.52
2021-03-08,0.82,3.49
2021-03-09,0.82,3.5
2021-03-10,0.82,3.44
2021-03-11,0.82,3.44
2021-03-12,0.82,3.44
2021-03-13,0.81,3.44
2021-03-14,0.81,3.43
2021-03-15,0.81,3.44
2021-03-16,0.81,3.41
2021-03-17,0.82,3.41
2021-03-18,0.8,3.39
2021-03-19,0.8,3.39
2021-03-20,0.8,3.38
2021-03-21,0.81,3.41
2021-03-22,0.79,3.4
2021-03-23,0.8,3.39
2021-03-24,0.8,3.38
2021-03-25,0.8,3.38
2021-03-26,0.8,3.37
2021-03-27,0.8,3.38
2021-03-28,0.81,3.38
2021-03-29,0.81,3.37
2021-03-30,0.82,3.37
2021-03-31,0.82,3.4
2021-04-01,0.81,3.38
2021-04-02,0.81,3.37
2021-04-03,0.81,3.38
2021-04-04,0.81,3.37
2021-04-05,0.81,3.38
2021-04-06,0.81,3.38
2021-04-07,0.81,3.36
2021-04-08,0.8,3.38
2021-04-09,0.8,3.39
2021-04-10,0.8,3.4
2021-04-11,0.81,3.37
2021-04-12,0.81,3.38
2021-04-13,0.81,3.38
2021-04-14,0.81,3.36
2021-04-15,0.81,3.4
2021-04-16,0.81,3.39
2021-04-17,0.82,3.36
2021-04-18,0.8,3.36
2021-04-19,0.81,3.35
2021-04-20,0.81,3.35
2021-04-21,0.8,3.35
2021-04-22,0.8,3.33
2021-04-23,0.92,3.57
2021-04-24,0.94,3.59
2021-04-25,0.93,3.6
2021-04-26,0.94,3.61
2021-04-27,0.89,3.62
2021-04-28,0.82,3.44
2021-04-29,0.88,3.56
2021-04-30,0.87,3.52
2021-05-01,0.85,3.5
2021-05-02,1.08,3.94
2021-05-03,1.08,3.95
2021-05-04,1.03,3.84
2021-05-05,0.98,3.76
2021-05-06,1.02,3.88
2021-05-07,1.05,3.89
2021-05-08,1.0,3.77
2021-05-09,0.98,3.76
2021-05-10,0.96,3.77
2021-05-11,0.95,3.73
2021-05-12,0.95,3.67
2021-05-13,0.96,3.7
