Date,Upstream Mean Discharge (cfs),Downstream Mean Discharge (cfs),Downstream Width (ft),Upstream Width (ft),Upstream Depth (ft),Downstream Depth (ft)
2023-12-12,129.0,154.0,60.7,,,6.902
2024-02-06,132.0,173.0,54.7,,,7.0862
2024-02-08,132.0,176.0,,55.9,1.6549999999999998,
2024-04-16,296.0,344.0,56.7,65.0,2.3339999999999996,8.332799999999999
2024-05-14,625.0,677.0,55.9,66.0,3.28,10.130600000000001
2024-06-03,1710.0,1870.0,81.6,74.0,6.021599999999999,14.5258
2024-06-25,485.0,498.0,,63.0,2.8666,
2024-07-16,143.0,182.0,61.0,57.1,1.7264,7.2712
2024-08-07,156.0,186.0,60.6,,,7.1576
2024-10-08,167.0,209.0,57.8,61.5,1.8142,7.3268
2024-12-13,136.0,162.0,56.5,57.0,1.6549999999999998,6.8870000000000005
2025-02-12,136.0,172.0,60.4,56.0,1.6549999999999998,7.0676000000000005
2025-04-08,314.0,308.0,62.7,57.0,2.304,8.0522
2025-05-23,808.0,791.0,66.3,66.0,3.8111999999999995,10.703199999999999
2025-07-22,166.0,183.0,60.4,,,7.0434
2025-07-31,173.0,199.0,,56.0,1.6913999999999998,
2025-08-21,508.0,498.0,64.3,,,9.0832
2025-08-29,554.0,559.0,,59.0,3.0244,
2025-09-26,573.0,577.0,62.8,,,9.5944
2025-11-21,136.0,163.0,,55.0,1.5786,
