,Unnamed: 0,Date,Time,Width (m),Discharge (cms) ,Depth (m),t (days),x (m)
66,66,7/3/24,10:04:00,130.7926829,196,3.2,3099.832638888889,427359.347
67,67,8/21/24,9:52:00,95.12195122,75,2.11,3148.8243055555554,427359.347
68,68,10/2/24,10:49:00,111.8902439,63,2.08,3190.863888888889,427359.347
69,69,11/18/24,11:05:00,50.0,56,2.01,3237.875,427359.347
70,70,1/8/25,11:23:00,108.5365854,66,2.12,3288.8875,427359.347
71,71,2/24/25,11:44:00,103.3536585,68,2.09,3335.9020833333334,427359.347
72,72,4/8/25,11:14:00,113.7195122,110,2.5,3378.88125,427359.347
73,73,5/20/25,8:40:00,116.4634146,287,3.87,3420.7743055555557,427359.347
74,74,7/1/25,10:45:00,73.47560976,65,2.13,3462.8611111111113,427359.347
75,75,8/13/25,10:44:00,68.29268293,42,1.81,3505.860416666667,427359.347
76,76,9/24/25,10:39:00,56.70731707,57,1.93,3547.8569444444443,427359.347
77,77,11/13/25,11:17:00,45.42682927,49,1.89,3597.883333333333,427359.347
78,78,12/31/25,11:27:00,50.91463415,53,1.94,3645.8902777777776,427359.347
79,79,4/17/26,10:17:00,75.30487805,83,2.27,3752.8416666666662,427359.347
